Date,High,low,Close,No.of Trades,Turn over
27-02-15,108.10,104.50,105.40,25,"2,203,142.90"
02-03-15,106.90,104.50,105.00,22,"1,405,128.50"
03-03-15,106.00,104.50,104.60,16,"2,498,428.50"
04-03-15,105.00,104.50,104.60,22,"45,923,340.50"
06-03-15,106.00,104.50,105.60,34,"42,401,213.20"
09-03-15,107.00,105.00,106.20,46,"27,302,711.90"
10-03-15,108.50,106.00,108.00,43,"30,164,057.30"
11-03-15,110.00,108.50,109.90,69,"42,797,058.70"
12-03-15,109.00,107.90,108.40,15,"5,149,821.80"
13-03-15,108.00,105.00,107.90,21,"591,410.90"
16-03-15,107.00,104.70,105.10,12,"256,802.40"
17-03-15,105.40,104.00,104.20,34,"3,562,239.90"
18-03-15,104.90,104.00,104.90,21,"2,818,998.00"
19-03-15,105.00,104.00,104.90,13,"371,805.20"
20-03-15,105.10,104.00,104.90,16,"11,138,276.10"
23-03-15,105.00,104.20,105.00,9,"1,084,994.20"
24-03-15,105.00,103.50,103.50,15,"10,641,197.40"
25-03-15,104.00,103.00,103.10,23,"49,236,373.00"
26-03-15,103.10,102.00,102.60,48,"423,061,951.10"
27-03-15,102.60,101.50,101.60,28,"737,954.50"
30-03-15,101.60,99.10,100.00,60,"6,615,246.20"
31-03-15,100.10,98.10,100.10,14,"4,207,650.00"
01-04-15,100.00,98.50,99.00,24,"2,005,453.00"
02-04-15,100.00,99.00,100.00,42,"10,130,645.90"
06-04-15,100.10,99.00,99.00,28,"16,967,859.00"
07-04-15,99.30,99.10,99.30,3,"30,285.50"
08-04-15,99.30,98.50,98.60,16,"626,647.10"
09-04-15,98.60,95.00,95.70,28,"5,327,142.60"
10-04-15,99.40,98.00,98.10,4,"25,494.00"
15-04-15,99.90,99.00,99.00,8,"333,130.50"
16-04-15,101.00,100.00,101.00,17,"2,452,135.00"
17-04-15,104.00,101.00,101.50,18,"1,294,241.00"
20-04-15,102.00,100.00,101.00,11,"389,790.00"
21-04-15,102.00,100.00,100.00,8,"557,340.00"
